,DATE,WEATHER,TEMPC,WIND
7847,2009-08-26 00,normal,23.3,5.0
7848,2009-08-26 01,normal,22.8,3.0
7849,2009-08-26 02,normal,22.2,6.0
7850,2009-08-26 03,normal,22.2,3.0
7851,2009-08-26 04,normal,22.2,7.0
7852,2009-08-26 05,normal,22.2,5.0
7853,2009-08-26 06,normal,22.2,9.0
7854,2009-08-26 07,normal,23.3,7.0
7855,2009-08-26 08,normal,24.4,5.0
7856,2009-08-26 09,normal,26.1,6.0
7857,2009-08-26 10,normal,27.2,7.0
7858,2009-08-26 11,normal,28.3,6.0
7859,2009-08-26 12,normal,28.3,10.0
7860,2009-08-26 13,normal,28.3,6.0
7861,2009-08-26 14,normal,27.8,10.0
7862,2009-08-26 15,normal,27.2,7.0
7863,2009-08-26 16,normal,27.2,8.0
7864,2009-08-26 17,normal,27.2,6.0
7865,2009-08-26 18,normal,26.1,0.0
7866,2009-08-26 19,normal,26.7,8.0
7867,2009-08-26 20,rain,23.9,0.0
7868,2009-08-26 21,rain,22.2,3.0
7869,2009-08-26 22,normal,21.1,5.0
7871,2009-08-26 23,normal,,
7872,2009-08-27 00,normal,22.2,3.0
7873,2009-08-27 01,normal,22.2,5.0
7875,2009-08-27 02,normal,21.7,0.0
7877,2009-08-27 03,normal,21.1,8.0
7878,2009-08-27 04,normal,20.6,9.0
7879,2009-08-27 05,normal,20.0,8.0
7880,2009-08-27 06,normal,19.4,6.0
7881,2009-08-27 07,normal,19.4,7.0
7882,2009-08-27 08,normal,20.6,5.0
7883,2009-08-27 09,normal,21.1,7.0
7884,2009-08-27 10,normal,22.2,6.0
7885,2009-08-27 11,normal,23.9,3.0
7886,2009-08-27 12,normal,23.3,0.0
7887,2009-08-27 13,normal,25.0,3.0
7888,2009-08-27 14,normal,23.9,5.0
7889,2009-08-27 15,normal,24.4,0.0
7890,2009-08-27 16,normal,24.4,0.0
7891,2009-08-27 17,normal,22.8,0.0
7892,2009-08-27 18,normal,22.2,0.0
7893,2009-08-27 19,normal,22.2,5.0
7894,2009-08-27 20,normal,22.8,0.0
7895,2009-08-27 21,normal,22.2,0.0
7896,2009-08-27 22,normal,22.2,0.0
7898,2009-08-27 23,normal,,
7899,2009-08-28 00,normal,21.1,0.0
7900,2009-08-28 01,normal,21.7,0.0
7901,2009-08-28 02,normal,22.2,0.0
7902,2009-08-28 03,normal,21.1,6.0
7903,2009-08-28 04,normal,20.0,0.0
7904,2009-08-28 05,normal,20.0,0.0
7905,2009-08-28 06,rain,19.4,6.0
7906,2009-08-28 07,rain,18.9,3.0
7910,2009-08-28 08,rain,18.3,5.0
7914,2009-08-28 09,rain,18.3,6.0
7917,2009-08-28 10,normal,17.8,7.0
7918,2009-08-28 11,rain,18.3,8.0
7920,2009-08-28 12,rain,17.8,9.0
7921,2009-08-28 13,normal,17.8,11.0
7923,2009-08-28 14,normal,18.3,9.0
7925,2009-08-28 15,normal,18.9,11.0
7927,2009-08-28 16,normal,19.4,11.0
7929,2009-08-28 17,rain,19.4,9.0
7931,2009-08-28 18,normal,18.9,11.0
7934,2009-08-28 19,rain,19.4,5.0
7936,2009-08-28 20,rain,19.4,8.0
7940,2009-08-28 21,rain,19.0,5.0
7943,2009-08-28 22,rain,20.0,0.0
7948,2009-08-28 23,normal,,
7953,2009-08-29 00,fog,21.1,0.0
7957,2009-08-29 01,normal,22.0,5.0
7960,2009-08-29 02,normal,21.7,0.0
7963,2009-08-29 03,normal,21.7,5.0
7965,2009-08-29 04,rain,21.7,5.0
7967,2009-08-29 05,normal,21.7,5.0
7969,2009-08-29 06,rain,21.7,0.0
7971,2009-08-29 07,rain,22.2,6.0
7973,2009-08-29 08,rain,21.7,9.0
7978,2009-08-29 09,rain,20.6,7.0
7980,2009-08-29 10,fog,20.0,11.0
7984,2009-08-29 11,fog,20.0,7.0
7987,2009-08-29 12,fog,20.0,6.0
7988,2009-08-29 13,normal,20.6,8.0
7989,2009-08-29 14,fog,21.1,6.0
7990,2009-08-29 15,normal,21.7,5.0
7992,2009-08-29 16,normal,21.7,5.0
7993,2009-08-29 17,normal,21.1,6.0
7994,2009-08-29 18,normal,20.0,6.0
7996,2009-08-29 19,normal,20.0,7.0
7997,2009-08-29 20,normal,20.0,6.0
7998,2009-08-29 21,normal,20.6,5.0
8002,2009-08-29 22,rain,20.0,5.0
8008,2009-08-29 23,normal,,
8013,2009-08-30 00,fog,19.4,6.0
8016,2009-08-30 01,fog,19.4,5.0
8019,2009-08-30 02,fog,19.4,3.0
8021,2009-08-30 03,fog,19.4,5.0
8023,2009-08-30 04,fog,18.9,6.0
8025,2009-08-30 05,fog,18.9,3.0
8028,2009-08-30 06,fog,18.9,6.0
8030,2009-08-30 07,fog,19.4,5.0
8031,2009-08-30 08,fog,20.6,0.0
8033,2009-08-30 09,fog,22.2,0.0
8035,2009-08-30 10,normal,24.4,0.0
8036,2009-08-30 11,normal,25.6,6.0
8037,2009-08-30 12,normal,26.7,9.0
8038,2009-08-30 13,normal,26.1,5.0
8039,2009-08-30 14,normal,26.1,7.0
8040,2009-08-30 15,normal,25.0,6.0
8041,2009-08-30 16,normal,25.0,8.0
8042,2009-08-30 17,normal,23.9,8.0
8043,2009-08-30 18,normal,23.3,8.0
8044,2009-08-30 19,normal,22.8,7.0
8045,2009-08-30 20,normal,21.7,7.0
8046,2009-08-30 21,normal,21.1,7.0
8047,2009-08-30 22,normal,20.0,7.0
8049,2009-08-30 23,normal,,
8050,2009-08-31 00,normal,18.3,3.0
8051,2009-08-31 01,normal,17.8,0.0
8052,2009-08-31 02,normal,17.8,3.0
8053,2009-08-31 03,normal,17.2,5.0
8054,2009-08-31 04,normal,16.7,6.0
8055,2009-08-31 05,normal,16.7,6.0
8056,2009-08-31 06,normal,16.7,5.0
8057,2009-08-31 07,normal,17.2,5.0
8058,2009-08-31 08,normal,17.8,5.0
8059,2009-08-31 09,normal,18.3,3.0
8060,2009-08-31 10,normal,20.0,5.0
8061,2009-08-31 11,normal,20.6,6.0
8062,2009-08-31 12,normal,22.2,6.0
8063,2009-08-31 13,normal,21.1,7.0
8064,2009-08-31 14,normal,21.1,6.0
8065,2009-08-31 15,normal,21.1,9.0
8066,2009-08-31 16,normal,20.0,6.0
8067,2009-08-31 17,normal,19.4,6.0
8068,2009-08-31 18,normal,18.3,7.0
8069,2009-08-31 19,normal,17.8,5.0
8070,2009-08-31 20,normal,18.3,9.0
8071,2009-08-31 21,normal,17.2,3.0
8072,2009-08-31 22,normal,17.2,5.0
8074,2009-08-31 23,normal,,
8075,2009-09-01 00,normal,16.7,6.0
8076,2009-09-01 01,normal,15.6,5.0
8077,2009-09-01 02,normal,15.0,3.0
8078,2009-09-01 03,normal,14.4,0.0
8079,2009-09-01 04,normal,13.9,3.0
8080,2009-09-01 05,normal,13.9,7.0
8081,2009-09-01 06,normal,15.6,7.0
8082,2009-09-01 07,normal,16.7,6.0
8083,2009-09-01 08,normal,17.8,6.0
8084,2009-09-01 09,normal,19.4,5.0
8085,2009-09-01 10,normal,20.6,8.0
8086,2009-09-01 11,normal,22.2,9.0
8087,2009-09-01 12,normal,22.8,6.0
8088,2009-09-01 13,normal,22.8,3.0
8089,2009-09-01 14,normal,22.2,6.0
8090,2009-09-01 15,normal,21.7,0.0
8091,2009-09-01 16,normal,21.7,6.0
8092,2009-09-01 17,normal,21.1,3.0
8093,2009-09-01 18,normal,18.9,0.0
8094,2009-09-01 19,normal,18.3,3.0
8095,2009-09-01 20,normal,17.8,0.0
8096,2009-09-01 21,normal,17.8,0.0
8097,2009-09-01 22,normal,17.2,0.0
8099,2009-09-01 23,normal,,
8100,2009-09-02 00,normal,16.7,3.0
8101,2009-09-02 01,normal,15.6,0.0
8102,2009-09-02 02,normal,15.6,0.0
8103,2009-09-02 03,normal,14.4,0.0
8104,2009-09-02 04,normal,14.4,0.0
8105,2009-09-02 05,normal,14.4,3.0
8106,2009-09-02 06,normal,16.1,0.0
8107,2009-09-02 07,normal,17.8,0.0
8108,2009-09-02 08,normal,19.4,3.0
8109,2009-09-02 09,normal,21.1,5.0
8110,2009-09-02 10,normal,22.8,7.0
8111,2009-09-02 11,normal,23.9,5.0
8112,2009-09-02 12,normal,25.0,5.0
8113,2009-09-02 13,normal,21.1,0.0
8114,2009-09-02 14,normal,22.2,5.0
8115,2009-09-02 15,normal,22.2,3.0
8116,2009-09-02 16,normal,21.7,5.0
8117,2009-09-02 17,normal,19.4,3.0
8118,2009-09-02 18,normal,18.9,5.0
8119,2009-09-02 19,normal,18.3,0.0
8120,2009-09-02 20,normal,17.8,3.0
8121,2009-09-02 21,normal,17.8,0.0
8122,2009-09-02 22,normal,17.2,0.0
8124,2009-09-02 23,normal,,
8125,2009-09-03 00,normal,16.7,0.0
8126,2009-09-03 01,normal,16.7,3.0
8127,2009-09-03 02,normal,16.7,0.0
8128,2009-09-03 03,normal,16.7,3.0
8129,2009-09-03 04,normal,16.7,0.0
8130,2009-09-03 05,normal,16.1,3.0
8131,2009-09-03 06,normal,17.8,0.0
8132,2009-09-03 07,normal,18.9,0.0
8133,2009-09-03 08,normal,20.0,3.0
8134,2009-09-03 09,normal,20.6,3.0
8135,2009-09-03 10,normal,22.8,8.0
8136,2009-09-03 11,normal,23.9,8.0
8137,2009-09-03 12,normal,25.0,8.0
8138,2009-09-03 13,normal,25.0,10.0
8139,2009-09-03 14,normal,24.4,3.0
8140,2009-09-03 15,normal,23.3,6.0
8141,2009-09-03 16,normal,22.2,5.0
8142,2009-09-03 17,normal,22.8,6.0
8143,2009-09-03 18,normal,21.1,3.0
8144,2009-09-03 19,normal,20.0,5.0
8145,2009-09-03 20,normal,20.0,7.0
8146,2009-09-03 21,normal,19.4,0.0
8147,2009-09-03 22,normal,18.3,0.0
8149,2009-09-03 23,normal,,
8150,2009-09-04 00,normal,17.8,3.0
8151,2009-09-04 01,normal,18.3,3.0
8152,2009-09-04 02,normal,17.2,3.0
8153,2009-09-04 03,normal,17.2,7.0
8154,2009-09-04 04,normal,17.2,3.0
8155,2009-09-04 05,normal,17.8,0.0
8156,2009-09-04 06,normal,18.9,3.0
8157,2009-09-04 07,normal,20.6,6.0
8158,2009-09-04 08,normal,22.2,8.0
8159,2009-09-04 09,normal,23.3,7.0
8160,2009-09-04 10,normal,25.6,9.0
8161,2009-09-04 11,normal,27.2,7.0
8162,2009-09-04 12,normal,27.8,6.0
8163,2009-09-04 13,normal,27.8,7.0
8164,2009-09-04 14,normal,27.2,3.0
8165,2009-09-04 15,normal,27.2,6.0
8166,2009-09-04 16,normal,26.7,5.0
8167,2009-09-04 17,normal,24.4,0.0
8168,2009-09-04 18,normal,23.9,0.0
8169,2009-09-04 19,normal,23.3,0.0
8170,2009-09-04 20,normal,22.8,0.0
8171,2009-09-04 21,normal,22.8,3.0
8172,2009-09-04 22,normal,23.3,3.0
8174,2009-09-04 23,normal,,
8175,2009-09-05 00,normal,22.8,0.0
8176,2009-09-05 01,normal,22.8,3.0
8177,2009-09-05 02,normal,21.7,3.0
8178,2009-09-05 03,normal,21.7,0.0
8179,2009-09-05 04,normal,21.1,0.0
8180,2009-09-05 05,normal,20.6,5.0
8181,2009-09-05 06,normal,20.6,5.0
8182,2009-09-05 07,normal,21.7,0.0
8183,2009-09-05 08,normal,23.3,3.0
8184,2009-09-05 09,normal,24.4,3.0
8185,2009-09-05 10,normal,26.1,9.0
8186,2009-09-05 11,normal,27.8,0.0
8187,2009-09-05 12,normal,27.8,9.0
8188,2009-09-05 13,normal,28.3,6.0
8189,2009-09-05 14,normal,27.8,6.0
8190,2009-09-05 15,normal,27.8,3.0
8191,2009-09-05 16,normal,26.1,5.0
8192,2009-09-05 17,normal,26.1,6.0
8193,2009-09-05 18,normal,25.0,3.0
8194,2009-09-05 19,normal,24.4,3.0
8195,2009-09-05 20,normal,22.8,5.0
8196,2009-09-05 21,normal,22.8,5.0
8197,2009-09-05 22,normal,22.2,3.0
8199,2009-09-05 23,normal,,
8200,2009-09-06 00,normal,22.2,8.0
8201,2009-09-06 01,normal,21.7,3.0
8202,2009-09-06 02,normal,20.6,13.0
8203,2009-09-06 03,normal,20.0,10.0
8204,2009-09-06 04,normal,18.9,11.0
8205,2009-09-06 05,normal,17.8,11.0
8206,2009-09-06 06,normal,17.8,10.0
8207,2009-09-06 07,normal,17.8,16.0
8208,2009-09-06 08,normal,18.3,9.0
8209,2009-09-06 09,normal,19.4,15.0
8210,2009-09-06 10,normal,21.1,9.0
8211,2009-09-06 11,normal,21.7,10.0
8212,2009-09-06 12,normal,22.8,9.0
8213,2009-09-06 13,normal,23.3,8.0
8214,2009-09-06 14,normal,21.7,10.0
8215,2009-09-06 15,normal,21.1,7.0
8216,2009-09-06 16,normal,20.6,6.0
8217,2009-09-06 17,normal,20.0,7.0
8218,2009-09-06 18,normal,18.9,6.0
8219,2009-09-06 19,normal,18.9,5.0
8220,2009-09-06 20,normal,18.9,8.0
8221,2009-09-06 21,normal,18.3,6.0
8222,2009-09-06 22,normal,17.8,7.0
8224,2009-09-06 23,normal,,
8225,2009-09-07 00,normal,17.2,6.0
8226,2009-09-07 01,normal,17.2,6.0
8228,2009-09-07 02,normal,16.1,7.0
8230,2009-09-07 03,normal,16.1,3.0
8232,2009-09-07 04,normal,16.7,7.0
8233,2009-09-07 05,normal,16.7,7.0
8234,2009-09-07 06,normal,16.7,7.0
8235,2009-09-07 07,normal,17.2,8.0
8236,2009-09-07 08,normal,18.3,7.0
8237,2009-09-07 09,normal,19.4,5.0
8238,2009-09-07 10,normal,21.1,0.0
8239,2009-09-07 11,normal,22.2,7.0
8240,2009-09-07 12,normal,23.3,3.0
8241,2009-09-07 13,normal,22.2,7.0
8242,2009-09-07 14,normal,21.7,3.0
8243,2009-09-07 15,normal,21.7,3.0
8244,2009-09-07 16,normal,21.1,3.0
8245,2009-09-07 17,normal,20.0,0.0
8246,2009-09-07 18,normal,19.4,6.0
8247,2009-09-07 19,normal,18.3,3.0
8248,2009-09-07 20,normal,18.3,0.0
8249,2009-09-07 21,normal,17.2,0.0
8250,2009-09-07 22,normal,17.2,0.0
8252,2009-09-07 23,normal,,
8253,2009-09-08 00,normal,17.2,0.0
8254,2009-09-08 01,normal,17.2,0.0
8255,2009-09-08 02,normal,17.2,0.0
8256,2009-09-08 03,normal,17.2,0.0
8257,2009-09-08 04,normal,17.2,0.0
8258,2009-09-08 05,normal,17.8,0.0
8259,2009-09-08 06,normal,18.9,0.0
8260,2009-09-08 07,normal,19.4,6.0
8261,2009-09-08 08,normal,20.6,5.0
8262,2009-09-08 09,normal,22.2,3.0
8264,2009-09-08 10,normal,22.2,5.0
8266,2009-09-08 11,normal,23.3,0.0
8267,2009-09-08 12,normal,22.8,8.0
8268,2009-09-08 13,normal,23.3,5.0
8269,2009-09-08 14,normal,23.3,0.0
8270,2009-09-08 15,normal,22.8,0.0
8271,2009-09-08 16,normal,22.2,0.0
8272,2009-09-08 17,normal,22.2,3.0
8273,2009-09-08 18,normal,21.7,0.0
8274,2009-09-08 19,normal,21.1,0.0
8275,2009-09-08 20,normal,22.2,3.0
8276,2009-09-08 21,normal,21.1,0.0
8277,2009-09-08 22,normal,20.6,0.0
8279,2009-09-08 23,normal,,
8280,2009-09-09 00,normal,21.7,7.0
8281,2009-09-09 01,normal,20.6,5.0
8282,2009-09-09 02,normal,20.0,3.0
8283,2009-09-09 03,normal,20.6,9.0
8284,2009-09-09 04,normal,19.4,5.0
8285,2009-09-09 05,normal,20.0,5.0
8286,2009-09-09 06,normal,20.0,7.0
8287,2009-09-09 07,normal,20.0,7.0
8288,2009-09-09 08,normal,20.0,5.0
8289,2009-09-09 09,normal,20.6,13.0
8290,2009-09-09 10,normal,22.2,8.0
8293,2009-09-09 11,normal,22.2,9.0
8295,2009-09-09 12,normal,23.3,5.0
8296,2009-09-09 13,normal,23.3,10.0
8297,2009-09-09 14,normal,22.8,9.0
8298,2009-09-09 15,normal,22.8,7.0
8299,2009-09-09 16,normal,22.2,7.0
8300,2009-09-09 17,normal,21.7,9.0
8301,2009-09-09 18,normal,21.7,7.0
8302,2009-09-09 19,normal,21.1,11.0
8303,2009-09-09 20,normal,20.0,17.0
8304,2009-09-09 21,normal,18.9,13.0
8305,2009-09-09 22,normal,18.3,11.0
8307,2009-09-09 23,normal,,
8308,2009-09-10 00,normal,16.7,9.0
8309,2009-09-10 01,normal,16.7,8.0
8310,2009-09-10 02,normal,16.1,8.0
8311,2009-09-10 03,normal,15.6,6.0
8312,2009-09-10 04,normal,15.6,7.0
8313,2009-09-10 05,normal,15.6,11.0
8314,2009-09-10 06,normal,15.6,9.0
8316,2009-09-10 07,normal,16.1,7.0
8317,2009-09-10 08,normal,16.7,10.0
8318,2009-09-10 09,normal,18.3,13.0
8320,2009-09-10 10,normal,18.3,18.0
8323,2009-09-10 11,normal,18.9,22.0
8324,2009-09-10 12,normal,18.9,20.0
8325,2009-09-10 13,normal,19.4,16.0
8326,2009-09-10 14,normal,19.4,15.0
8327,2009-09-10 15,normal,18.9,13.0
8328,2009-09-10 16,normal,18.9,7.0
8329,2009-09-10 17,normal,18.3,15.0
8330,2009-09-10 18,normal,18.3,16.0
8331,2009-09-10 19,normal,18.3,13.0
8332,2009-09-10 20,normal,17.8,18.0
8334,2009-09-10 21,normal,17.2,14.0
8335,2009-09-10 22,normal,16.1,11.0
8337,2009-09-10 23,normal,,
8338,2009-09-11 00,rain,15.0,10.0
8339,2009-09-11 01,rain,13.9,9.0
8340,2009-09-11 02,rain,13.3,14.0
8341,2009-09-11 03,normal,13.3,15.0
8343,2009-09-11 04,rain,13.3,13.0
8344,2009-09-11 05,rain,13.3,17.0
8345,2009-09-11 06,normal,13.9,20.0
8346,2009-09-11 07,normal,14.4,18.0
8352,2009-09-11 08,rain,13.9,16.0
8356,2009-09-11 09,normal,15.0,15.0
8357,2009-09-11 10,fog,15.6,22.0
8362,2009-09-11 11,rain,16.0,22.0
8363,2009-09-11 12,rain,16.1,22.0
8366,2009-09-11 13,rain,16.7,21.0
8373,2009-09-11 14,normal,17.0,17.0
8377,2009-09-11 15,fog,17.8,16.0
8381,2009-09-11 16,fog,18.3,11.0
8384,2009-09-11 17,fog,18.3,11.0
8385,2009-09-11 18,rain,18.3,10.0
8386,2009-09-11 19,normal,18.3,8.0
8387,2009-09-11 20,normal,18.9,6.0
8388,2009-09-11 21,rain,18.9,6.0
8390,2009-09-11 22,fog,17.2,3.0
8393,2009-09-11 23,normal,,
8395,2009-09-12 00,normal,17.2,8.0
8396,2009-09-12 01,normal,17.2,7.0
8397,2009-09-12 02,normal,17.8,5.0
8399,2009-09-12 03,fog,17.8,7.0
8402,2009-09-12 04,rain,17.8,5.0
8403,2009-09-12 05,fog,17.8,5.0
8405,2009-09-12 06,fog,17.8,6.0
8408,2009-09-12 07,normal,18.3,6.0
8411,2009-09-12 08,normal,18.3,9.0
8413,2009-09-12 09,normal,18.3,6.0
8415,2009-09-12 10,normal,18.9,8.0
8418,2009-09-12 11,normal,18.9,8.0
8420,2009-09-12 12,rain,19.4,5.0
8424,2009-09-12 13,normal,19.4,5.0
8429,2009-09-12 14,fog,19.0,3.0
8432,2009-09-12 15,fog,19.4,5.0
8437,2009-09-12 16,fog,18.9,5.0
8442,2009-09-12 17,fog,18.3,0.0
8446,2009-09-12 18,fog,18.3,0.0
8448,2009-09-12 19,normal,18.3,6.0
8450,2009-09-12 20,normal,18.9,6.0
8451,2009-09-12 21,normal,18.9,6.0
8452,2009-09-12 22,normal,18.9,6.0
8456,2009-09-12 23,normal,,
8457,2009-09-13 00,normal,18.9,3.0
8458,2009-09-13 01,normal,18.9,6.0
8459,2009-09-13 02,normal,18.9,3.0
8461,2009-09-13 03,normal,18.9,3.0
8462,2009-09-13 04,normal,18.9,5.0
8463,2009-09-13 05,normal,17.8,0.0
8464,2009-09-13 06,normal,18.3,0.0
8465,2009-09-13 07,normal,19.4,5.0
8466,2009-09-13 08,normal,21.1,7.0
8469,2009-09-13 09,normal,22.2,3.0
8470,2009-09-13 10,normal,22.2,3.0
8471,2009-09-13 11,normal,24.4,7.0
8472,2009-09-13 12,normal,25.6,6.0
8473,2009-09-13 13,normal,25.6,3.0
8474,2009-09-13 14,normal,26.1,7.0
8475,2009-09-13 15,normal,25.6,5.0
8476,2009-09-13 16,normal,24.4,7.0
8477,2009-09-13 17,normal,24.4,5.0
8478,2009-09-13 18,normal,22.8,6.0
8479,2009-09-13 19,normal,22.2,5.0
8480,2009-09-13 20,normal,21.7,6.0
8481,2009-09-13 21,normal,20.0,3.0
8482,2009-09-13 22,normal,20.0,0.0
8484,2009-09-13 23,normal,,
8485,2009-09-14 00,normal,18.3,0.0
8486,2009-09-14 01,normal,17.8,5.0
8487,2009-09-14 02,normal,17.8,0.0
8488,2009-09-14 03,normal,17.2,5.0
8489,2009-09-14 04,normal,17.2,6.0
8490,2009-09-14 05,normal,16.1,6.0
8491,2009-09-14 06,normal,16.7,0.0
8492,2009-09-14 07,normal,17.8,3.0
8493,2009-09-14 08,normal,19.4,5.0
8494,2009-09-14 09,normal,21.1,6.0
8495,2009-09-14 10,normal,21.7,3.0
8496,2009-09-14 11,normal,23.3,6.0
8497,2009-09-14 12,normal,23.9,6.0
8498,2009-09-14 13,normal,24.4,9.0
8499,2009-09-14 14,normal,24.4,11.0
8500,2009-09-14 15,normal,23.9,9.0
8501,2009-09-14 16,normal,23.9,3.0
8502,2009-09-14 17,normal,23.3,6.0
8503,2009-09-14 18,normal,22.2,3.0
8504,2009-09-14 19,normal,22.2,8.0
8505,2009-09-14 20,normal,21.7,7.0
8506,2009-09-14 21,normal,20.6,5.0
8507,2009-09-14 22,normal,19.4,6.0
8509,2009-09-14 23,normal,,
8510,2009-09-15 00,normal,18.3,6.0
8511,2009-09-15 01,normal,18.3,3.0
8512,2009-09-15 02,normal,17.8,5.0
8513,2009-09-15 03,normal,17.8,3.0
8514,2009-09-15 04,normal,17.8,3.0
8515,2009-09-15 05,normal,18.3,3.0
8516,2009-09-15 06,normal,18.3,3.0
8517,2009-09-15 07,normal,19.4,5.0
8518,2009-09-15 08,normal,20.0,8.0
8519,2009-09-15 09,normal,21.7,5.0
8520,2009-09-15 10,normal,23.3,6.0
8521,2009-09-15 11,normal,23.9,0.0
8522,2009-09-15 12,normal,24.4,6.0
8523,2009-09-15 13,normal,25.0,6.0
8524,2009-09-15 14,normal,25.0,5.0
8525,2009-09-15 15,normal,24.4,0.0
8526,2009-09-15 16,normal,23.9,3.0
8527,2009-09-15 17,normal,23.9,5.0
8528,2009-09-15 18,normal,23.3,3.0
8529,2009-09-15 19,normal,23.3,0.0
8530,2009-09-15 20,normal,22.8,5.0
8531,2009-09-15 21,normal,22.2,5.0
8532,2009-09-15 22,normal,21.1,5.0
8534,2009-09-15 23,normal,,
8535,2009-09-16 00,normal,20.6,6.0
8536,2009-09-16 01,normal,20.0,7.0
8537,2009-09-16 02,normal,18.9,6.0
8539,2009-09-16 03,normal,18.3,5.0
8540,2009-09-16 04,normal,18.3,7.0
8542,2009-09-16 05,normal,18.3,7.0
8543,2009-09-16 06,normal,18.3,14.0
8545,2009-09-16 07,normal,18.3,15.0
8547,2009-09-16 08,normal,18.9,13.0
8548,2009-09-16 09,normal,18.9,16.0
8550,2009-09-16 10,normal,18.9,17.0
8551,2009-09-16 11,normal,18.9,17.0
8553,2009-09-16 12,normal,18.9,11.0
8554,2009-09-16 13,normal,18.9,8.0
8555,2009-09-16 14,normal,18.3,10.0
8556,2009-09-16 15,normal,17.8,6.0
8557,2009-09-16 16,normal,17.8,6.0
8558,2009-09-16 17,normal,17.8,8.0
8559,2009-09-16 18,normal,18.3,14.0
8561,2009-09-16 19,normal,17.8,15.0
8562,2009-09-16 20,normal,17.8,7.0
8563,2009-09-16 21,normal,17.2,10.0
8564,2009-09-16 22,normal,17.2,11.0
8567,2009-09-16 23,normal,,
8569,2009-09-17 00,normal,15.6,10.0
8573,2009-09-17 01,normal,15.0,8.0
8575,2009-09-17 02,normal,15.0,9.0
8576,2009-09-17 03,normal,14.4,11.0
8577,2009-09-17 04,normal,13.9,9.0
8578,2009-09-17 05,normal,13.3,9.0
8579,2009-09-17 06,normal,13.3,8.0
8580,2009-09-17 07,normal,13.9,8.0
8581,2009-09-17 08,normal,13.3,10.0
8582,2009-09-17 09,normal,13.3,7.0
8584,2009-09-17 10,rain,13.3,9.0
8585,2009-09-17 11,normal,14.4,9.0
8586,2009-09-17 12,normal,16.1,6.0
8587,2009-09-17 13,normal,16.7,8.0
8588,2009-09-17 14,normal,17.2,5.0
8589,2009-09-17 15,normal,16.7,5.0
8590,2009-09-17 16,normal,16.1,5.0
8591,2009-09-17 17,normal,15.0,3.0
8592,2009-09-17 18,normal,13.9,0.0
8593,2009-09-17 19,normal,13.9,0.0
8594,2009-09-17 20,normal,13.9,0.0
8595,2009-09-17 21,normal,13.3,0.0
8596,2009-09-17 22,normal,13.3,0.0
8598,2009-09-17 23,normal,,
8599,2009-09-18 00,normal,13.9,3.0
8600,2009-09-18 01,normal,14.4,6.0
8601,2009-09-18 02,normal,14.4,0.0
8603,2009-09-18 03,normal,14.4,3.0
8604,2009-09-18 04,normal,14.4,3.0
8607,2009-09-18 05,normal,14.4,6.0
8608,2009-09-18 06,normal,15.0,7.0
8610,2009-09-18 07,normal,16.1,5.0
8611,2009-09-18 08,normal,16.7,8.0
8613,2009-09-18 09,normal,18.3,6.0
8614,2009-09-18 10,normal,20.0,7.0
8615,2009-09-18 11,normal,21.7,5.0
8616,2009-09-18 12,normal,22.8,8.0
8617,2009-09-18 13,normal,22.8,7.0
8618,2009-09-18 14,normal,22.8,7.0
8619,2009-09-18 15,normal,22.8,10.0
8620,2009-09-18 16,normal,22.2,10.0
8621,2009-09-18 17,normal,21.1,6.0
8622,2009-09-18 18,normal,21.1,5.0
8623,2009-09-18 19,normal,21.1,6.0
8624,2009-09-18 20,normal,20.0,5.0
8625,2009-09-18 21,normal,19.4,6.0
8626,2009-09-18 22,normal,18.9,7.0
8628,2009-09-18 23,normal,,
8629,2009-09-19 00,normal,17.2,7.0
8630,2009-09-19 01,normal,16.1,7.0
8631,2009-09-19 02,normal,15.0,5.0
8632,2009-09-19 03,normal,13.9,3.0
8633,2009-09-19 04,normal,12.8,5.0
8634,2009-09-19 05,normal,12.2,5.0
8635,2009-09-19 06,normal,11.7,6.0
8636,2009-09-19 07,normal,11.7,7.0
8637,2009-09-19 08,normal,12.8,7.0
8638,2009-09-19 09,normal,14.4,3.0
8639,2009-09-19 10,normal,16.7,6.0
8640,2009-09-19 11,normal,18.3,6.0
8641,2009-09-19 12,normal,19.4,7.0
8642,2009-09-19 13,normal,20.6,3.0
8643,2009-09-19 14,normal,20.0,7.0
8644,2009-09-19 15,normal,20.0,3.0
8645,2009-09-19 16,normal,18.9,0.0
8646,2009-09-19 17,normal,17.2,3.0
8647,2009-09-19 18,normal,16.7,0.0
8648,2009-09-19 19,normal,16.7,0.0
8649,2009-09-19 20,normal,15.6,0.0
8650,2009-09-19 21,normal,15.6,5.0
8651,2009-09-19 22,normal,15.0,0.0
8653,2009-09-19 23,normal,,
8654,2009-09-20 00,normal,13.9,3.0
8655,2009-09-20 01,normal,13.9,0.0
8656,2009-09-20 02,normal,13.3,0.0
8657,2009-09-20 03,normal,13.3,0.0
8658,2009-09-20 04,normal,12.2,3.0
8659,2009-09-20 05,normal,12.8,5.0
8660,2009-09-20 06,normal,13.3,0.0
8661,2009-09-20 07,normal,15.6,3.0
8662,2009-09-20 08,normal,16.7,5.0
8663,2009-09-20 09,normal,18.3,5.0
8664,2009-09-20 10,normal,20.6,5.0
8665,2009-09-20 11,normal,21.7,3.0
8666,2009-09-20 12,normal,22.8,5.0
8667,2009-09-20 13,normal,22.2,8.0
