,DATE,WEATHER,TEMPC,WIND
170,2009-01-06 23,normal,,
172,2009-01-07 00,rain,0.0,8.0
174,2009-01-07 01,rain,0.0,10.0
175,2009-01-07 02,rain,0.0,13.0
176,2009-01-07 03,rain,0.6,15.0
177,2009-01-07 04,rain,1.1,16.0
178,2009-01-07 05,rain,1.1,15.0
179,2009-01-07 06,rain,1.7,18.0
180,2009-01-07 07,rain,1.7,18.0
181,2009-01-07 08,rain,1.7,18.0
185,2009-01-07 09,rain,1.7,15.0
188,2009-01-07 10,rain,2.0,11.0
190,2009-01-07 11,rain,1.7,10.0
191,2009-01-07 12,rain,2.2,8.0
192,2009-01-07 13,rain,1.7,10.0
193,2009-01-07 14,fog,2.2,3.0
194,2009-01-07 15,fog,2.8,7.0
195,2009-01-07 16,fog,2.8,7.0
200,2009-01-07 17,rain,2.8,0.0
203,2009-01-07 18,rain,2.8,7.0
206,2009-01-07 19,normal,2.8,6.0
208,2009-01-07 20,rain,2.8,8.0
209,2009-01-07 21,normal,2.8,9.0
210,2009-01-07 22,normal,2.8,5.0
212,2009-01-07 23,normal,,
215,2009-01-08 00,normal,2.8,11.0
216,2009-01-08 01,normal,2.8,14.0
217,2009-01-08 02,normal,2.8,11.0
218,2009-01-08 03,normal,2.2,11.0
219,2009-01-08 04,normal,2.2,9.0
220,2009-01-08 05,normal,1.7,7.0
221,2009-01-08 06,normal,2.2,7.0
222,2009-01-08 07,normal,2.2,9.0
223,2009-01-08 08,normal,3.3,14.0
224,2009-01-08 09,normal,2.2,10.0
225,2009-01-08 10,normal,2.8,9.0
226,2009-01-08 11,normal,2.2,16.0
227,2009-01-08 12,normal,2.2,14.0
228,2009-01-08 13,normal,2.2,20.0
229,2009-01-08 14,normal,2.2,14.0
230,2009-01-08 15,normal,1.7,9.0
231,2009-01-08 16,normal,0.6,14.0
232,2009-01-08 17,normal,0.6,13.0
233,2009-01-08 18,normal,0.0,8.0
234,2009-01-08 19,normal,0.0,14.0
235,2009-01-08 20,normal,-0.6,11.0
236,2009-01-08 21,normal,-0.6,7.0
237,2009-01-08 22,normal,-1.1,8.0
239,2009-01-08 23,normal,,
240,2009-01-09 00,normal,-2.2,13.0
241,2009-01-09 01,normal,-2.8,14.0
